PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
PRT,10,1930,1930,1,f,50,5,RR,5,O,1542,.,.,.,0
PRT,10,1930,1930,1,f,55,5,RR,5,O,1787,.,.,.,0
PRT,10,1930,1930,1,f,60,5,RR,5,O,2569,.,.,.,0
PRT,10,1930,1930,1,f,65,5,RR,5,O,3104,.,.,.,0
PRT,10,1930,1930,1,f,70,5,RR,5,O,4082,.,.,.,0
PRT,10,1930,1930,1,f,75,5,RR,5,O,3925,.,.,.,0
PRT,10,1930,1930,1,f,80,1,RR,5,O,1661,.,.,.,0
PRT,10,1930,1930,1,f,81,1,RR,5,O,486,.,.,.,0
PRT,10,1930,1930,1,f,82,1,RR,5,O,676,.,.,.,0
PRT,10,1930,1930,1,f,83,1,RR,5,O,481,.,.,.,0
PRT,10,1930,1930,1,f,84,1,RR,5,O,556,.,.,.,0
PRT,10,1930,1930,1,f,85,1,RR,5,O,743,.,.,.,0
PRT,10,1930,1930,1,f,86,1,RR,5,O,466,.,.,.,0
PRT,10,1930,1930,1,f,87,1,RR,5,O,366,.,.,.,0
PRT,10,1930,1930,1,f,88,1,RR,5,O,366,.,.,.,0
PRT,10,1930,1930,1,f,89,1,RR,5,O,203,.,.,.,0
PRT,10,1930,1930,1,f,90,1,RR,5,O,485,.,.,.,0
PRT,10,1930,1930,1,f,91,1,RR,5,O,106,.,.,.,0
PRT,10,1930,1930,1,f,92,1,RR,5,O,150,.,.,.,0
PRT,10,1930,1930,1,f,93,1,RR,5,O,115,.,.,.,0
PRT,10,1930,1930,1,f,94,1,RR,5,O,95,.,.,.,0
PRT,10,1930,1930,1,f,95,1,RR,5,O,144,.,.,.,0
PRT,10,1930,1930,1,f,96,1,RR,5,O,96,.,.,.,0
PRT,10,1930,1930,1,f,97,1,RR,5,O,63,.,.,.,0
PRT,10,1930,1930,1,f,98,1,RR,5,O,84,.,.,.,0
PRT,10,1930,1930,1,f,99,1,RR,5,O,26,.,.,.,0
PRT,10,1930,1930,1,f,100,1,RR,5,O,45,.,.,.,0
PRT,10,1930,1930,1,f,101,+,RR,5,O,71,.,.,.,0
PRT,10,1930,1930,1,f,TOT,.,RR,5,O,56844,.,.,.,0
PRT,10,1930,1930,1,f,UNK,.,RR,5,O,69,.,.,.,0
PRT,10,1930,1930,1,m,0,1,RR,5,O,15956,.,.,.,0
PRT,10,1930,1930,1,m,1,1,RR,5,O,3301,.,.,.,0
PRT,10,1930,1930,1,m,2,1,RR,5,O,1592,.,.,.,0
PRT,10,1930,1930,1,m,3,1,RR,5,O,1480,.,.,.,0
PRT,10,1930,1930,1,m,4,1,RR,5,O,1133,.,.,.,0
PRT,10,1930,1930,1,m,5,5,RR,5,O,1071,.,.,.,0
PRT,10,1930,1930,1,m,10,5,RR,5,O,792,.,.,.,0
PRT,10,1930,1930,1,m,15,5,RR,5,O,1272,.,.,.,0
PRT,10,1930,1930,1,m,20,5,RR,5,O,1845,.,.,.,0
PRT,10,1930,1930,1,m,25,5,RR,5,O,1748,.,.,.,0
PRT,10,1930,1930,1,m,30,5,RR,5,O,1612,.,.,.,0
PRT,10,1930,1930,1,m,35,5,RR,5,O,1667,.,.,.,0
PRT,10,1930,1930,1,m,40,5,RR,5,O,1616,.,.,.,0
PRT,10,1930,1930,1,m,45,5,RR,5,O,1795,.,.,.,0
PRT,10,1930,1930,1,m,50,5,RR,5,O,2036,.,.,.,0
PRT,10,1930,1930,1,m,55,5,RR,5,O,2385,.,.,.,0
PRT,10,1930,1930,1,m,60,5,RR,5,O,3026,.,.,.,0
PRT,10,1930,1930,1,m,65,5,RR,5,O,3249,.,.,.,0
