PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,m,62,1,E,1,1,1846,11,O,3214,.,.,.,1
NOR,1,m,63,1,E,1,1,1846,11,O,3413,.,.,.,1
NOR,1,m,64,1,E,1,1,1846,11,O,3277,.,.,.,1
NOR,1,m,65,1,E,1,1,1846,11,O,3182,.,.,.,1
NOR,1,m,66,1,E,1,1,1846,11,O,2777,.,.,.,1
NOR,1,m,67,1,E,1,1,1846,11,O,2687,.,.,.,1
NOR,1,m,68,1,E,1,1,1846,11,O,2501,.,.,.,1
NOR,1,m,69,1,E,1,1,1846,11,O,2125,.,.,.,1
NOR,1,m,70,1,E,1,1,1846,11,O,2362,.,.,.,1
NOR,1,m,71,1,E,1,1,1846,11,O,1830,.,.,.,1
NOR,1,m,72,1,E,1,1,1846,11,O,1507,.,.,.,1
NOR,1,m,73,1,E,1,1,1846,11,O,1568,.,.,.,1
NOR,1,m,74,1,E,1,1,1846,11,O,1580,.,.,.,1
NOR,1,m,75,1,E,1,1,1846,11,O,1423,.,.,.,1
NOR,1,m,76,1,E,1,1,1846,11,O,1307,.,.,.,1
NOR,1,m,77,1,E,1,1,1846,11,O,1109,.,.,.,1
NOR,1,m,78,1,E,1,1,1846,11,O,1040,.,.,.,1
NOR,1,m,79,1,E,1,1,1846,11,O,893,.,.,.,1
NOR,1,m,80,1,E,1,1,1846,11,O,857,.,.,.,1
NOR,1,m,81,1,E,1,1,1846,11,O,804,.,.,.,1
NOR,1,m,82,1,E,1,1,1846,11,O,661,.,.,.,1
NOR,1,m,83,1,E,1,1,1846,11,O,567,.,.,.,1
NOR,1,m,84,1,E,1,1,1846,11,O,435,.,.,.,1
NOR,1,m,85,1,E,1,1,1846,11,O,350,.,.,.,1
NOR,1,m,86,1,E,1,1,1846,11,O,254,.,.,.,1
NOR,1,m,87,1,E,1,1,1846,11,O,213,.,.,.,1
NOR,1,m,88,1,E,1,1,1846,11,O,176,.,.,.,1
NOR,1,m,89,1,E,1,1,1846,11,O,145,.,.,.,1
NOR,1,m,90,1,E,1,1,1846,11,O,118,.,.,.,1
NOR,1,m,91,1,E,1,1,1846,11,O,80,.,.,.,1
NOR,1,m,92,1,E,1,1,1846,11,O,73,.,.,.,1
NOR,1,m,93,1,E,1,1,1846,11,O,54,.,.,.,1
NOR,1,m,94,1,E,1,1,1846,11,O,45,.,.,.,1
NOR,1,m,95,1,E,1,1,1846,11,O,29,.,.,.,1
NOR,1,m,96,1,E,1,1,1846,11,O,34,.,.,.,1
NOR,1,m,97,1,E,1,1,1846,11,O,24,.,.,.,1
NOR,1,m,98,1,E,1,1,1846,11,O,15,.,.,.,1
NOR,1,m,99,1,E,1,1,1846,11,O,8,.,.,.,1
NOR,1,m,100,1,E,1,1,1846,11,O,8,.,.,.,1
NOR,1,m,101,1,E,1,1,1846,11,O,4,.,.,.,1
NOR,1,m,102,1,E,1,1,1846,11,O,2,.,.,.,1
NOR,1,m,103,1,E,1,1,1846,11,O,1,.,.,.,1
NOR,1,m,104,1,E,1,1,1846,11,O,0,.,.,.,1
NOR,1,m,105,1,E,1,1,1846,11,O,0,.,.,.,1
NOR,1,m,106,1,E,1,1,1846,11,O,0,.,.,.,1
NOR,1,f,0,1,E,1,1,1847,11,O,18742,.,.,.,1
NOR,1,f,1,1,E,1,1,1847,11,O,16949,.,.,.,1
NOR,1,f,2,1,E,1,1,1847,11,O,15692,.,.,.,1
NOR,1,f,3,1,E,1,1,1847,11,O,15986,.,.,.,1
NOR,1,f,4,1,E,1,1,1847,11,O,17088,.,.,.,1
NOR,1,f,5,1,E,1,1,1847,11,O,16009,.,.,.,1
NOR,1,f,6,1,E,1,1,1847,11,O,14323,.,.,.,1
NOR,1,f,7,1,E,1,1,1847,11,O,13266,.,.,.,1
NOR,1,f,8,1,E,1,1,1847,11,O,13407,.,.,.,1
NOR,1,f,9,1,E,1,1,1847,11,O,13578,.,.,.,1
NOR,1,f,10,1,E,1,1,1847,11,O,13738,.,.,.,1
NOR,1,f,11,1,E,1,1,1847,11,O,14841,.,.,.,1
NOR,1,f,12,1,E,1,1,1847,11,O,14153,.,.,.,1
NOR,1,f,13,1,E,1,1,1847,11,O,13393,.,.,.,1
NOR,1,f,14,1,E,1,1,1847,11,O,12694,.,.,.,1
NOR,1,f,15,1,E,1,1,1847,11,O,12895,.,.,.,1
NOR,1,f,16,1,E,1,1,1847,11,O,13363,.,.,.,1
NOR,1,f,17,1,E,1,1,1847,11,O,13564,.,.,.,1
NOR,1,f,18,1,E,1,1,1847,11,O,12774,.,.,.,1
NOR,1,f,19,1,E,1,1,1847,11,O,12685,.,.,.,1
NOR,1,f,20,1,E,1,1,1847,11,O,13609,.,.,.,1
NOR,1,f,21,1,E,1,1,1847,11,O,13450,.,.,.,1
NOR,1,f,22,1,E,1,1,1847,11,O,12694,.,.,.,1
NOR,1,f,23,1,E,1,1,1847,11,O,13031,.,.,.,1
NOR,1,f,24,1,E,1,1,1847,11,O,12575,.,.,.,1
NOR,1,f,25,1,E,1,1,1847,11,O,12999,.,.,.,1
NOR,1,f,26,1,E,1,1,1847,11,O,12175,.,.,.,1
NOR,1,f,27,1,E,1,1,1847,11,O,11400,.,.,.,1
NOR,1,f,28,1,E,1,1,1847,11,O,10564,.,.,.,1
NOR,1,f,29,1,E,1,1,1847,11,O,10891,.,.,.,1
NOR,1,f,30,1,E,1,1,1847,11,O,11325,.,.,.,1
NOR,1,f,31,1,E,1,1,1847,11,O,9461,.,.,.,1
NOR,1,f,32,1,E,1,1,1847,11,O,7314,.,.,.,1
NOR,1,f,33,1,E,1,1,1847,11,O,7658,.,.,.,1
NOR,1,f,34,1,E,1,1,1847,11,O,8415,.,.,.,1
NOR,1,f,35,1,E,1,1,1847,11,O,7675,.,.,.,1
NOR,1,f,36,1,E,1,1,1847,11,O,7202,.,.,.,1
NOR,1,f,37,1,E,1,1,1847,11,O,6028,.,.,.,1
NOR,1,f,38,1,E,1,1,1847,11,O,7446,.,.,.,1
NOR,1,f,39,1,E,1,1,1847,11,O,7735,.,.,.,1
NOR,1,f,40,1,E,1,1,1847,11,O,7655,.,.,.,1
NOR,1,f,41,1,E,1,1,1847,11,O,7502,.,.,.,1
NOR,1,f,42,1,E,1,1,1847,11,O,6650,.,.,.,1
NOR,1,f,43,1,E,1,1,1847,11,O,7028,.,.,.,1
NOR,1,f,44,1,E,1,1,1847,11,O,6431,.,.,.,1
NOR,1,f,45,1,E,1,1,1847,11,O,7019,.,.,.,1
